<http://www.yso.fi/onto/yso/p10260>	kustvatten
<http://www.yso.fi/onto/yso/p10261>	hydrosfären
<http://www.yso.fi/onto/yso/p10262>	sondmatning
<http://www.yso.fi/onto/yso/p10263>	tvångsmatning
<http://www.yso.fi/onto/yso/p10264>	skyttar (idrott)
<http://www.yso.fi/onto/yso/p10265>	offrande
<http://www.yso.fi/onto/yso/p10266>	totemism
<http://www.yso.fi/onto/yso/p10267>	antroposofer
<http://www.yso.fi/onto/yso/p10268>	fall (ned)
<http://www.yso.fi/onto/yso/p10269>	REM-sömn
<http://www.yso.fi/onto/yso/p1027>	speglar
<http://www.yso.fi/onto/yso/p10270>	presterande
<http://www.yso.fi/onto/yso/p10271>	Länsirannikon ralli
<http://www.yso.fi/onto/yso/p10272>	åtalade
<http://www.yso.fi/onto/yso/p10273>	parter
<http://www.yso.fi/onto/yso/p10274>	visuell kultur
<http://www.yso.fi/onto/yso/p10275>	silverarbeten
<http://www.yso.fi/onto/yso/p10276>	myrmalmer
<http://www.yso.fi/onto/yso/p10277>	sjömalmer
<http://www.yso.fi/onto/yso/p10278>	determinism
<http://www.yso.fi/onto/yso/p10279>	fatalism
<http://www.yso.fi/onto/yso/p1028>	läroinrättningar
<http://www.yso.fi/onto/yso/p10280>	slump
<http://www.yso.fi/onto/yso/p10281>	munksälar
<http://www.yso.fi/onto/yso/p10282>	doppingfåglar
<http://www.yso.fi/onto/yso/p10283>	höst
<http://www.yso.fi/onto/yso/p10284>	kvistning
<http://www.yso.fi/onto/yso/p10285>	Tammerfors-Birkala flygplats
<http://www.yso.fi/onto/yso/p10286>	scrapie
<http://www.yso.fi/onto/yso/p10287>	Töllinmäki
<http://www.yso.fi/onto/yso/p10289>	emergens
<http://www.yso.fi/onto/yso/p1029>	konsthögskolor
<http://www.yso.fi/onto/yso/p10290>	datering
<http://www.yso.fi/onto/yso/p10291>	sufism
<http://www.yso.fi/onto/yso/p10292>	trumpet
<http://www.yso.fi/onto/yso/p10293>	Ohms lag
<http://www.yso.fi/onto/yso/p10294>	servering
<http://www.yso.fi/onto/yso/p10295>	kykladisk kultur
<http://www.yso.fi/onto/yso/p10296>	larver
<http://www.yso.fi/onto/yso/p10298>	skum
<http://www.yso.fi/onto/yso/p103>	radioprogram
<http://www.yso.fi/onto/yso/p1030>	högskolor
<http://www.yso.fi/onto/yso/p10300>	striptease
<http://www.yso.fi/onto/yso/p10301>	etnobotanik
<http://www.yso.fi/onto/yso/p10302>	rotpriser
<http://www.yso.fi/onto/yso/p10303>	telefonetikett
<http://www.yso.fi/onto/yso/p10304>	fällning (kemi)
<http://www.yso.fi/onto/yso/p10305>	blockflöjt
<http://www.yso.fi/onto/yso/p10306>	flöjt
<http://www.yso.fi/onto/yso/p10307>	flöjtinstrument
<http://www.yso.fi/onto/yso/p10308>	berövande
<http://www.yso.fi/onto/yso/p10309>	skogsbruksingenjörer
<http://www.yso.fi/onto/yso/p1031>	högskoleväsen
<http://www.yso.fi/onto/yso/p10310>	frisyrer
<http://www.yso.fi/onto/yso/p10311>	internationell obligationsrätt
<http://www.yso.fi/onto/yso/p10312>	obligationsrätt
<http://www.yso.fi/onto/yso/p10313>	remisser
<http://www.yso.fi/onto/yso/p10315>	vetenskapliga tidskrifter
<http://www.yso.fi/onto/yso/p10316>	blindtarm
<http://www.yso.fi/onto/yso/p10317>	tarmkanal
<http://www.yso.fi/onto/yso/p10318>	vedisk religion
<http://www.yso.fi/onto/yso/p10319>	kalla kriget
<http://www.yso.fi/onto/yso/p1032>	fokusering
<http://www.yso.fi/onto/yso/p10320>	gjuteriprodukter
<http://www.yso.fi/onto/yso/p10321>	arbetstillstånd
<http://www.yso.fi/onto/yso/p10322>	utländsk arbetskraft
<http://www.yso.fi/onto/yso/p10323>	bombningar
<http://www.yso.fi/onto/yso/p10324>	fornfranska
<http://www.yso.fi/onto/yso/p10325>	franska
<http://www.yso.fi/onto/yso/p10326>	fornspråk
<http://www.yso.fi/onto/yso/p10327>	skogsinkomster
<http://www.yso.fi/onto/yso/p10328>	lantbruksinkomster
<http://www.yso.fi/onto/yso/p10329>	matrisräkning
<http://www.yso.fi/onto/yso/p1033>	allokering
<http://www.yso.fi/onto/yso/p10330>	baljväxter
<http://www.yso.fi/onto/yso/p10331>	räkenskapsböcker
<http://www.yso.fi/onto/yso/p10332>	Patvinsuo nationalpark
<http://www.yso.fi/onto/yso/p10333>	Uleåborgs flygplats
<http://www.yso.fi/onto/yso/p10334>	kognitiv litteraturforskning
<http://www.yso.fi/onto/yso/p10335>	antropometri
<http://www.yso.fi/onto/yso/p10336>	torv
<http://www.yso.fi/onto/yso/p10337>	fasta bränslen
<http://www.yso.fi/onto/yso/p10338>	aga
<http://www.yso.fi/onto/yso/p10339>	tolteker
<http://www.yso.fi/onto/yso/p1034>	riktande
<http://www.yso.fi/onto/yso/p10341>	boaormar
<http://www.yso.fi/onto/yso/p10342>	ormar
<http://www.yso.fi/onto/yso/p10343>	småplaneter
<http://www.yso.fi/onto/yso/p10344>	arbetsrotation
<http://www.yso.fi/onto/yso/p10345>	kunskapsöverföring
<http://www.yso.fi/onto/yso/p10346>	novor
<http://www.yso.fi/onto/yso/p10347>	supernovor
<http://www.yso.fi/onto/yso/p10348>	strafforderförfarande
<http://www.yso.fi/onto/yso/p10349>	bordeller
<http://www.yso.fi/onto/yso/p1035>	gastroskopi
<http://www.yso.fi/onto/yso/p10350>	kvinnohandel
<http://www.yso.fi/onto/yso/p10351>	prostituerade
<http://www.yso.fi/onto/yso/p10352>	handel med barn
<http://www.yso.fi/onto/yso/p10353>	doktriner
<http://www.yso.fi/onto/yso/p10354>	naturminnesmärken
<http://www.yso.fi/onto/yso/p10355>	Moisio gård
<http://www.yso.fi/onto/yso/p10357>	ungdomssekreterare
<http://www.yso.fi/onto/yso/p10358>	aktivitetscentra
<http://www.yso.fi/onto/yso/p10359>	nefroblastom
<http://www.yso.fi/onto/yso/p1036>	endoskopi
<http://www.yso.fi/onto/yso/p10360>	intern säkerhet
<http://www.yso.fi/onto/yso/p10361>	godkännande
<http://www.yso.fi/onto/yso/p10362>	memer
<http://www.yso.fi/onto/yso/p10363>	tulltjänstemän
<http://www.yso.fi/onto/yso/p10364>	satslogik
<http://www.yso.fi/onto/yso/p10365>	predikatlogik
<http://www.yso.fi/onto/yso/p10366>	inköp
<http://www.yso.fi/onto/yso/p10367>	lager (maskinkomponenter)
<http://www.yso.fi/onto/yso/p10368>	kompletteringsbyggande
<http://www.yso.fi/onto/yso/p10369>	flyghavre
<http://www.yso.fi/onto/yso/p1037>	Nordiskt reumatikerår
<http://www.yso.fi/onto/yso/p10370>	amerikansk engelska
<http://www.yso.fi/onto/yso/p10371>	lag om granskning av bildprogram
