<http://www.yso.fi/onto/yso/p10139>	ammattiryhmät
<http://www.yso.fi/onto/yso/p10140>	professionalismi
<http://www.yso.fi/onto/yso/p10141>	kystat
<http://www.yso.fi/onto/yso/p10142>	maatalousneuvojat
<http://www.yso.fi/onto/yso/p10144>	lukumäärä
<http://www.yso.fi/onto/yso/p10145>	sellerit
<http://www.yso.fi/onto/yso/p10147>	Kyrönkankaantie
<http://www.yso.fi/onto/yso/p10148>	laboratoriohoitajat
<http://www.yso.fi/onto/yso/p10149>	sijoituspalvelut
<http://www.yso.fi/onto/yso/p1015>	kulttiesineet
<http://www.yso.fi/onto/yso/p10150>	sosiaaliavustukset
<http://www.yso.fi/onto/yso/p10151>	koneyrittäjät
<http://www.yso.fi/onto/yso/p10152>	salaattikasvit
<http://www.yso.fi/onto/yso/p10154>	luistinradat
<http://www.yso.fi/onto/yso/p10155>	keräsalaatti
<http://www.yso.fi/onto/yso/p10156>	myasthenia gravis
<http://www.yso.fi/onto/yso/p10157>	lääkehuolto
<http://www.yso.fi/onto/yso/p10158>	lääkintähuolto
<http://www.yso.fi/onto/yso/p10159>	meningokokki
<http://www.yso.fi/onto/yso/p1016>	kultit
<http://www.yso.fi/onto/yso/p10160>	kadmium
<http://www.yso.fi/onto/yso/p10161>	lastenkieli
<http://www.yso.fi/onto/yso/p10162>	kielellinen kehitys
<http://www.yso.fi/onto/yso/p10163>	kielen omaksuminen
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p10165>	marginaalivero
<http://www.yso.fi/onto/yso/p10166>	ukrainalaiset
<http://www.yso.fi/onto/yso/p10167>	klassismi
<http://www.yso.fi/onto/yso/p10168>	imperatiivi
<http://www.yso.fi/onto/yso/p10169>	hivenaineanalyysi
<http://www.yso.fi/onto/yso/p1017>	taikaesineet
<http://www.yso.fi/onto/yso/p10170>	polarografia
<http://www.yso.fi/onto/yso/p10171>	kalorimetria
<http://www.yso.fi/onto/yso/p10172>	alkuaineanalyysi
<http://www.yso.fi/onto/yso/p10173>	kromatografia
<http://www.yso.fi/onto/yso/p10174>	fosfaattianalyysi
<http://www.yso.fi/onto/yso/p10175>	kvalitatiivinen analyysi
<http://www.yso.fi/onto/yso/p10176>	spektroskopia
<http://www.yso.fi/onto/yso/p10177>	spektrometria
<http://www.yso.fi/onto/yso/p10178>	termoanalyysi
<http://www.yso.fi/onto/yso/p10179>	kuljetusalan oppilaitokset
<http://www.yso.fi/onto/yso/p1018>	esineet
<http://www.yso.fi/onto/yso/p10180>	gammakuvaus
<http://www.yso.fi/onto/yso/p10181>	röntgentutkimus
<http://www.yso.fi/onto/yso/p10183>	tiedekuntakirjastot
<http://www.yso.fi/onto/yso/p10184>	yliopistokirjastot
<http://www.yso.fi/onto/yso/p10185>	Internet-osoitteet
<http://www.yso.fi/onto/yso/p10186>	verkkotunnukset
<http://www.yso.fi/onto/yso/p10187>	osoitteet
<http://www.yso.fi/onto/yso/p10188>	Frugård (Joroinen)
<http://www.yso.fi/onto/yso/p10189>	pelastustoiminta
<http://www.yso.fi/onto/yso/p1019>	Photo-Paint
<http://www.yso.fi/onto/yso/p10190>	pelastuspalvelu
<http://www.yso.fi/onto/yso/p10191>	Silmukka
<http://www.yso.fi/onto/yso/p10192>	latinalainen kirjaimisto
<http://www.yso.fi/onto/yso/p10194>	yhdyskuntasuunnittelu
<http://www.yso.fi/onto/yso/p10195>	myöntyväisyyssuunta
<http://www.yso.fi/onto/yso/p10196>	musiikkikulttuuri
<http://www.yso.fi/onto/yso/p10197>	sormieläimet
<http://www.yso.fi/onto/yso/p10198>	polyfonia
<http://www.yso.fi/onto/yso/p10199>	sävellysoppi
<http://www.yso.fi/onto/yso/p1020>	toimituspäälliköt
<http://www.yso.fi/onto/yso/p10200>	homofonia
<http://www.yso.fi/onto/yso/p10201>	elegiat
<http://www.yso.fi/onto/yso/p10202>	sitoutumattomat lehdet
<http://www.yso.fi/onto/yso/p10203>	polventähystys
<http://www.yso.fi/onto/yso/p10204>	läheisneuvonpito
<http://www.yso.fi/onto/yso/p10205>	samovaarit
<http://www.yso.fi/onto/yso/p10206>	taloustarvikkeet
<http://www.yso.fi/onto/yso/p10207>	televisiokuvaus
<http://www.yso.fi/onto/yso/p10209>	tilkkutyöt
<http://www.yso.fi/onto/yso/p1021>	toimittajat
<http://www.yso.fi/onto/yso/p10210>	monnikalat
<http://www.yso.fi/onto/yso/p10211>	vajaakuntoiset
<http://www.yso.fi/onto/yso/p10212>	työkyvyttömyys
<http://www.yso.fi/onto/yso/p10213>	toimintakyky
<http://www.yso.fi/onto/yso/p10214>	työkyky
<http://www.yso.fi/onto/yso/p10215>	työrajoitteiset
<http://www.yso.fi/onto/yso/p10216>	baletit (teokset)
<http://www.yso.fi/onto/yso/p10217>	tanssiteokset
<http://www.yso.fi/onto/yso/p10218>	baletti (taidelajit)
<http://www.yso.fi/onto/yso/p10219>	siitin
<http://www.yso.fi/onto/yso/p1022>	propyleeniglykoli
<http://www.yso.fi/onto/yso/p10220>	työvoiman tarjonta
<http://www.yso.fi/onto/yso/p10221>	vuokraus
<http://www.yso.fi/onto/yso/p10222>	neuroblastooma
<http://www.yso.fi/onto/yso/p10223>	arviointitutkimus
<http://www.yso.fi/onto/yso/p10224>	A-klinikat
